serial,room,asset
LR062TYP,10201,3483
LR062T6E,10201,3484
LR062TZ6,10201,3485
LR062TYT,10201,3486
LR062TUY,10201,3487
LR062TX0,10201,3499
LR062TY2,10201,3493
LR062TYU,10201,3492
LR062TY0,10201,3491
LR062TUL,10201,3490
LR062TYR,10201,3489
LR062TUJ,10201,3488
LR062TEV,10201,3498
LR062TZL,10201,3497
LR062TYW,10201,3496
LR062TZ8,10201,3495
LR062TYS,10201,3494
LR062EHK,10201,3506
LR062EJM,10201,3505
LR062EJB,10201,3504
LR05XQVT,10201,3503
LR05XQWN,10201,3502
LR05XQYQ,10201,3501
LR05C948,10201,3500
LR062EDD,10203,3507
LR062EHL,10203,3508
LR062EJ0,10203,3509
LR062EFY,10203,3510
LR062EMZ,10203,3511
LR062EXL,10203,3512
LR062F4W,10203,3513
LR062EBS,10203,3514
LR062F42,10203,3515
LR062EEU,10203,3516
LR05C94U,10203,3517
LR05C94A,10203,3518
LR05BYGD,10203,3519
LR05XQWM,10203,3520
LR05XQXK,10203,3521
LR05XQWT,10203,3522
LR062U0K,10203,3523
LR062U1Y,10203,3524
LR062U0D,10203,3525
LR062TYN,10203,3526
LR062TZG,10203,3527
LR062U0X,10203,3528
LR062V7H,10203,3529
LR062EGV,10203,3531
LR0634VL,10204,3456
LR0634DM,10204,3460
LR062TXB,10204,3461
LR062VFZ,10204,3462
LR05XQX6,10204,3463
LR062EH0,10204,3464
LR05C959,10204,3465
LR05C942,10204,3466
LR05C946,10204,3467
LR05C93W,10204,3468
LR05C92W,10204,3469
LR05BYRD,10204,3470
LR062TXS,10204,3471
LR062TY1,10204,3472
LR062TZ4,10204,3473
LR062T6V,10204,3475
LR062T6Y,10204,3476
LR062TZR,10204,3477
LR062UW7,10204,3478
LR062TXU,10204,3479
LR062TWG,10204,3480
LR062TZN,10204,3481
LR062TWY,10204,3482
LR048PTA,10205,2965
LR048PTG,10205,2966
LR048PTV,10205,2967
LR048PW9,10205,2968
LR048PSU,10205,2969
LR048Q0N,10205,2970
LR048PQH,10205,2971
LR048PQ6,10205,2972
LR048PQU,10205,2973
LR048PRZ,10205,2974
LR048PRA,10205,2975
LR048PRH,10205,2976
LR048PST,10205,2979
LR048Q2T,10205,2980
LR048PR3,10205,2981
LR048PPV,10205,2982
LR048PT3,10205,2983
LR048PT0,10205,2984
LR048Q7S,10205,2985
LR048Q7Q,10205,2986
LR048PT5,10205,2987
LR048PSF,10205,2988
LR048QKL,10205,2989
LR048PS7,10206,2991
LR048PSR,10206,2992
LR048PQ4,10206,2993
LR048QKV,10206,2994
LR048PQD,10206,2995
LR048PRW,10206,2996
LR048PQ7,10206,2997
LR048PR1,10206,2998
LR048PR7,10206,2999
LR048PTY,10206,3000
LR048PTE,10206,3001
LR048PR8,10206,3002
LR048PRB,10206,3003
LR048PUX,10206,3004
LR048PQL,10206,3005
LR048Q86,10206,3006
LR048PRR,10206,3007
LR048PQQ,10206,3008
LR048PQT,10206,3009
LR048PRM,10206,3010
LR048PQN,10206,3012
LR048PQV,10206,3013
LR048QKP,10206,3014
LR048PSJ,10206,3015
LR048QKF,10206,3016
LR03Y7EC,10208,2089
LR03XXWA,10208,2090
LR03XXZV,10208,2091
LR03Z15C,10208,2092
LR03Z15F,10208,2093
LR03Z1AR,10208,2094
LR03Z1AS,10208,2095
LR03Z15Y,10208,2096
LR03Z1BP,10208,2097
LR03Z16A,10208,2098
LR03Z186,10208,2099
LR03Z161,10208,2100
LR03Z1A2,10208,2101
LR03Z1A7,10208,2102
LR03Y7SF,10208,2103
LR03Z169,10208,2104
LR03YA0T,10208,2105
LR03Y7B8,10208,2106
LR03Y7N3,10208,2229
LR03Z15A,10208,2230
LR03Z15T,10208,2231
LR03Z1AJ,10208,2232
LR03Z19T,10208,2233
LR03Z1A6,10208,2234
LR03Z1A3,10208,2235
LR03Z1BF,10208,2236
LR03Z19V,10208,2237
LR03Z19D,10208,2238
LR03Z19N,10208,2239
LR03Y7RV,10208,2240
LR048PV6,10209,3017
LR048PPW,10209,3018
LR048PUK,10209,3019
LR048PUY,10209,3020
LR048PXH,10209,3021
LR048QKB,10209,3022
LR048QKG,10209,3023
LR048QKE,10209,3024
LR048QKH,10209,3025
LR048PWR,10209,3026
LR048QBP,10209,3027
LR048QKS,10209,3028
LR048PRP,10209,3033
LR048PRY,10209,3034
LR048PU7,10209,3035
LR048PSG,10209,3036
LR048PQS,10209,3037
LR048PSK,10209,3038
LR048QKM,10210,3043
LR048PQR,10210,3044
LR048PQ5,10210,3045
LR048QKU,10210,3046
LR048PQY,10210,3047
LR048QKN,10210,3048
LR048PRV,10210,3049
LR048PPU,10210,3050
LR048PRC,10210,3051
LR048PTH,10210,3052
LR048PPY,10210,3053
LR048QAY,10210,3054
LR048PS9,10210,3055
LR048PTJ,10210,3057
LR048PRT,10210,3058
LR048PTU,10210,3059
LR048Q91,10210,3060
LR048PQX,10210,3061
LR048Q8M,10210,3062
LR048PS1,10210,3063
LR048QC6,10210,3064
LR048Q9E,10210,3065
LR048PQ9,10210,3066
LR048PR4,10210,3067
LR048QEW,10210,3068
NXSHEAA00241305AB97600,10214,1798
NXSHEAA00241305B027600,10214,1800
NXSHEAA00241305B1D7600,10214,1810
NXSHEAA00241305B3B7600,10214,2051
NXSHEAA00241305B057600,10214,2088
NXSHEAA00241305C287600,10214,2247
NXSHEAA00241305BDA7600,10214,2248
NXSHEAA00241305C4F7600,10214,2249
NXSHEAA00241305C497600,10214,2250
NXSHEAA00241305B357600,10214,2257
NXSHEAA00241305C217600,10214,2264
NXSHEAA00241305BF37600,10214,2267
NXSHEAA00241305C2C7600,10214,2275
NXSHEAA00241305C027600,10214,2286
NXSHEAA00241305C067600,10214,2287
NXSHEAA00241305B557600,10214,2291
NXSHEAA00241305B9C7600,10214,2298
NXSHEAA00241305BE07600,10214,2302
NXSHEAA00241305C557600,10214,2304
NXSHEAA00241305C417600,10214,2305
NXSHEAA00241305C2F7600,10214,2309
NXSHEAA00241305A6C7600,10214,2414
NXSHEAA002413061AE7600,10214,2479
NXSHEAA00241305A6D7600,10214,2481
NXSHEAA0024130618F7600,10214,2487
NXSHEAA00241305BF27600,10214,2492
NXSHEAA00241305A447600,10214,2498
NXSHEAA00241305AF87600,10214,2521
NXSHEAA00241305C107600,10214,2523
NXSHEAA00241305BED7600,10214,2524
NXSHEAA00241305C187600,10214,2525
NXSHEAA00241305B8D7600,10214,2526
NXSHEAA00241305BC97600,10214,2527
LR03Y9ZX,10215,2139
LR03Z166,10215,2140
LR03XXX2,10215,2141
LR03XXZC,10215,2142
LR03Z1AW,10215,2143
LR03Z152,10215,2144
LR03XY21,10215,2145
LR03YA0R,10215,2146
LR03Y9YV,10215,2147
LR03Y9ZV,10215,2149
LR03Y9X0,10215,2150
LR03Y8P0,10215,2151
LR03Z15H,10215,2152
LR03Z17B,10215,2153
LR03Z18Z,10215,2154
LR03Z18W,10215,2155
LR03Z19L,10215,2156
LR03Z1BK,10215,2157
LR03Z16J,10215,2158
LR03Z1A0,10215,2159
LR03Z1B8,10215,2160
LR03Z19Y,10215,2161
LR03Z17R,10215,2162
LR03Z18R,10215,2163
LR03Z188,10215,2164
LR03Z1AC,10215,2165
LR03Z162,10215,2166
LR03Z19B,10215,2167
LR03Z18F,10215,2168
LR03Z172,10215,2241
NXSHEAA00241305A9A7600,10216,1772
NXSHEAA00241305B637600,10216,1773
NXSHEAA002410025967600,10216,1774
NXSHEAA002410025347600,10216,1775
NXSHEAA00241305B3E7600,10216,1781
NXSHEAA00241305B457600,10216,1788
NXSHEAA00241305B227600,10216,1804
NXSHEAA00241305B497600,10216,1805
NXSHEAA00241305A7C7600,10216,2055
NXSHEAA00241305B117600,10216,2063
NXSHEAA00241305B187600,10216,2064
NXSHEAA00241305AE17600,10216,2065
NXSHEAA00241305B0D7600,10216,2074
NXSHEAA00241305B487600,10216,2076
NXSHEAA00241305B177600,10216,2077
NXSHEAA00241305AD47600,10216,2078
NXSHEAA00241305B447600,10216,2079
NXSHEAA00241305B2F7600,10216,2080
NXSHEAA00241305C667600,10216,2242
NXSHEAA00241305C037600,10216,2273
NXSHEAA00241305C007600,10216,2276
NXSHEAA00241305C3F7600,10216,2282
NXSHEAA00241305BE67600,10216,2283
NXSHEAA00241305C247600,10216,2284
NXSHEAA00241305C097600,10216,2285
NXSHEAA00241305C437600,10216,2306
NXSHEAA00241305BEA7600,10216,2308
NXSHEAA00241305C127600,10216,2316
NXSHEAA00241305B147600,10216,2413
NXSHEAA00241305B217600,10216,2415
NXSHEAA00241006A537600,10216,2427
NXSHEAA00241305C4D7600,10216,2531
NXSHEAA00241002E1B7600,10216,2485
NXSHEAA00241305B407600,10218,1776
NXSHEAA00241305AFA7600,10218,1783
NXSHEAA00241305B2D7600,10218,1789
NXSHEAA002410023AD7600,10218,1790
NXSHEAA00241305B377600,10218,1791
NXSHEAA00241305B287600,10218,1792
NXSHEAA002413059527600,10218,1793
NXSHEAA00241305AED7600,10218,1794
NXSHEAA00241305AFD7600,10218,1795
NXSHEAA00241305B077600,10218,1801
NXSHEAA00241305B037600,10218,1803
NXSHEAA00241305B257600,10218,1806
NXSHEAA00241305B687600,10218,1807
NXSHEAA0024100255B7600,10218,1808
NXSHEAA00241305B387600,10218,1809
NXSHEAA00241305B667600,10218,2050
NXSHEAA00241305B367600,10218,2056
NXSHEAA00241305B107600,10218,2057
NXSHEAA00241305B0C7600,10218,2059
NXSHEAA00241305A357600,10218,2061
NXSHEAA002410024717600,10218,2072
NXSHEAA00241305B427600,10218,2075
NXSHEAA00241305B397600,10218,2081
NXSHEAA00241305C597600,10218,2307
NXSHEAA00241305B717600,10218,2412
NXSHEAA00241305B6C7600,10218,2416
NXSHEAA00241305B5E7600,10218,2426
NXSHEAA00241006AE87600,10218,2428
NXSHEAA002413061977600,10218,2458
NXSHEAA00241305A707600,10218,2490
NXSHEAA00241305C3A7600,10218,2504
NXSHEAA0024130598F7600,10218,2519
NXSHEAA00241305C0D7600,10218,2522
LR03Z17E,10219,2169
LR03Z17P,10219,2170
LR03Z15X,10219,2171
LR03Z157,10219,2172
LR03Z15M,10219,2173
LR03Z183,10219,2174
LR03Z16K,10219,2175
LR03Z17S,10219,2176
LR03Z15Z,10219,2177
LR03Z18G,10219,2178
LR03Z17H,10219,2179
LR03Z18L,10219,2180
LR03Z156,10219,2181
LR03Z19K,10219,2182
LR03Z19C,10219,2183
LR03Z17U,10219,2184
LR03Z195,10219,2185
LR03Z18V,10219,2186
LR03Z19R,10219,2187
LR03Z18D,10219,2188
LR03XW2G,10219,2190
LR03Z19H,10219,2191
LR03Z16U,10219,2192
LR03Z1AX,10219,2193
LR03Z1A4,10219,2194
LR03Z1AH,10219,2195
LR03Z16B,10219,2196
LR03Z18S,10219,2197
LR03Y7MF,10219,2198
NXSHEAA00241305BAF7600,10220,2512
LR03XXW8,10220,2107
LR03YA1N,10220,2108
LR03YA05,10220,2109
LR03Z18N,10220,2110
LR03Y7ML,10220,2111
LR03Y9W6,10220,2112
LR03Y7S1,10220,2113
LR03Z196,10220,2114
LR03Z1B1,10220,2115
LR03YA1D,10220,2116
LR03Y7S9,10220,2117
LR03Y7F2,10220,2118
LR03Z18C,10220,2119
LR03Z18E,10220,2120
LR03Z18B,10220,2122
LR03Y9ZD,10220,2123
LR03Z1AP,10220,2124
LR03Z1AF,10220,2125
LR03Z153,10220,2126
LR03Z1A9,10220,2127
LR03Z1A5,10220,2128
LR03Z19W,10220,2129
LR03Z154,10220,2130
LR03Z171,10220,2131
LR03Z18M,10220,2132
LR03Y9W8,10220,2133
LR03Z1BM,10220,2134
LR03Z19M,10220,2135
LR03Z1AQ,10220,2136
NXSHEAA002413061A17600,10221,2513
LR03Z191,10221,2199
LR03Z1B3,10221,2200
LR03Z16P,10221,2201
LR03Z18Y,10221,2202
LR03Y7KU,10221,2203
LR03Z19G,10221,2204
LR03Z18J,10221,2205
LR03Z198,10221,2206
LR03Z15N,10221,2207
LR03Z1AG,10221,2208
LR03Z29R,10221,2209
LR03Z187,10221,2210
LR03Z18Q,10221,2211
LR03Z192,10221,2212
LR03Z1AL,10221,2213
LR03Z1AB,10221,2214
LR03Z19A,10221,2215
LR03Z19Q,10221,2216
LR03Z19E,10221,2217
LR03Z184,10221,2218
LR03Y7PR,10221,2220
LR03Y7TA,10221,2221
LR03Y7TX,10221,2222
LR03Y7T6,10221,2223
LR03Y7TH,10221,2224
LR03Y7TY,10221,2225
LR03Y7RX,10221,2226
LR03Y7BE,10221,2227
LR03Y7L1,10221,2228
